SMILES,nAromBond,nAtomLC,ALogp2,nAtom,MLogP,nAtomP,nAtomLAC,LipinskiFailures,XLogP,nHBDon,ALogP,nB,nRotB,AMR,naAromAtom
InChI%3D1S%2FC22H19Cl2NO3%2Fc1-22%282%2917%2812-19%2823%2924%2920%2822%2921%2826%2928-18%2813-25%2914-7-6-10-16%2811-14%2927-15-8-4-3-5-9-15%2Fh3-12%2C17-18%2C20H%2C1-2H3,12.0,6.0,2.95599246025085,47.0,3.22000002861023,13.0,2.0,1.0,6.90899991989136,,1.71930003166199,30.0,7.0,59.0901985168457,12.0
InChI%3D1S%2FC17H20N6O7S%2Fc1-23%282%2915%2825%2911-6-5-10%2818-9-24%297-12%2811%2931%2827%2C28%2922-17%2826%2921-16-19-13%2829-3%298-14%2820-16%2930-4%2Fh5-9H%2C1-4H3%2C%28H%2C18%2C24%29%28H2%2C19%2C20%2C21%2C22%2C26%29,12.0,7.0,1.40185594558716,51.0,1.78999996185303,27.0,0.0,1.0,1.01999998092651,,-1.18400001525879,32.0,9.0,62.9143981933594,12.0
InChI%3D1S%2FC12H23NO3%2Fc1-3-10%282%2916-12%2815%2913-8-5-4-6-11%2813%297-9-14%2Fh10-11%2C14H%2C3-9H2%2C1-2H3,0.0,7.0,3.83885645866394,39.0,2.33999991416931,4.0,4.0,0.0,1.81400001049042,1.0,-1.95930004119873,16.0,6.0,53.9329986572266,0.0
InChI%3D1S%2FC13H11ClN2O4S.Na%2Fc1-19-9-6-10%2820-2%2916-13%2815-9%2921-8-5-3-4-7%2814%2911%288%2912%2817%2918%3B%2Fh3-6H%2C1-2H3%2C%28H%2C17%2C18%29%3B%2Fq%3B%2B1%2Fp-1,12.0,2.0,,32.0,1.89999997615814,9.0,0.0,0.0,0.637000024318695,,,22.0,5.0,,12.0
InChI%3D1S%2FC10H20NO4PS%2Fc1-6-11-16%2817%2C13-5%2915-9%284%297-10%2812%2914-8%282%293%2Fh7-8H%2C6H2%2C1-5H3%2C%28H%2C11%2C17%29,6.0,3.0,,53.0,3.10999989509583,17.0,2.0,0.0,,,,30.0,4.0,,6.0
InChI%3D1S%2FC12H18N4O6S%2Fc1-3-5-14%286-4-2%2912-10%2815%2817%2918%297-9%2823%2813%2C21%2922%298-11%2812%2916%2819%2920%2Fh7-8H%2C3-6H2%2C1-2H3%2C%28H2%2C13%2C21%2C22%29,6.0,7.0,,41.0,1.57000005245209,17.0,3.0,0.0,1.81500005722046,,-1.4666999578476,23.0,8.0,,6.0
InChI%3D1S%2FC14H13F4N3O2S%2Fc1-8%282%2921%2810-5-3-9%2815%294-6-10%2911%2822%297-23-13-20-19-12%2824-13%2914%2816%2C17%2918%2Fh3-6%2C8H%2C7H2%2C1-2H3,6.0,8.0,3.30294275283813,44.0,2.55999994277954,6.0,5.0,0.0,1.95700001716614,,1.8173999786377,21.0,5.0,85.7703018188477,6.0
InChI%3D1S%2FC19H25ClN2OS%2Fc1-18%282%2C3%2914-9-7-13%288-10-14%2912-24-15-11-21-22%2819%284%2C5%296%2917%2823%2916%2815%2920%2Fh7-11H%2C12H2%2C1-6H3,0.0,0.0,5.20843696594238,13.0,1.67999994754791,0.0,0.0,0.0,2.30599999427795,,1.16419994831085,6.0,0.0,55.1688003540039,0.0
InChI%3D1S%2FC18H35NO2%2Fc1-6-12-19%287-2%2913-16-14-20-18%2821-16%2910-8-15%289-11-18%2917%283%2C4%295%2Fh15-16H%2C6-14H2%2C1-5H3,0.0,7.0,6.57358312606812,56.0,3.10999989509583,0.0,3.0,0.0,4.86399984359741,0.0,2.56389999389648,22.0,6.0,93.1490020751953,0.0
InChI%3D1S%2FC22H26O3%2Fc1-15%282%2910-19-20%2822%2819%2C3%294%2921%2823%2925-14-17-12-18%2824-13-17%2911-16-8-6-5-7-9-16%2Fh5-10%2C12-13%2C19-20H%2C11%2C14H2%2C1-4H3,6.0,5.0,,43.0,2.33999991416931,7.0,2.0,0.0,0.685000002384186,0.0,0.627900004386902,26.0,5.0,,6.0
InChI%3D1S%2FC12H9ClF3N3O%2Fc1-17-9-6-18-19%2811%2820%2910%289%2913%298-4-2-3-7%285-8%2912%2814%2C15%2916%2Fh2-6%2C17H%2C1H3,0.0,6.0,,34.0,2.45000004768372,8.0,6.0,0.0,3.80900001525879,,,15.0,5.0,,0.0
InChI%3D1S%2FC9H10ClN2O5PS%2Fc1-15-18%2814%2C16-2%2919-5-12-8-7%2817-9%2812%2913%293-6%2810%294-11-8%2Fh3-4H%2C5H2%2C1-2H3,6.0,8.0,2.01129126548767,29.0,1.35000002384186,10.0,0.0,0.0,-0.136999994516373,,1.41820001602173,20.0,5.0,72.1449966430664,6.0
InChI%3D1S%2FC9H10Cl2N2O%2Fc1-13%282%299%2814%2912-6-3-4-7%2810%298%2811%295-6%2Fh3-5H%2C1-2H3%2C%28H%2C12%2C14%29,6.0,6.0,3.32734084129333,24.0,1.89999997615814,10.0,0.0,0.0,2.31599998474121,,1.82410001754761,14.0,2.0,62.086799621582,6.0
InChI%3D1S%2FC10H8ClN3O%2Fc11-9-8%2812%296-13-14%2810%289%2915%297-4-2-1-3-5-7%2Fh1-6H%2C12H2,0.0,7.0,2.20403718948364,19.0,2.00999999046326,2.0,6.0,0.0,1.56900000572205,,-0.327899992465973,6.0,3.0,70.9033966064453,0.0
InChI%3D1S%2FC15H18N4O7S.Na%2Fc1-4-9-26-14-16-19%2815%2822%2918%2814%292%2913%2821%2917-27%2823%2C24%2911-8-6-5-7-10%2811%2912%2820%2925-3%3B%2Fh5-8H%2C4%2C9H2%2C1-3H3%2C%28H%2C17%2C21%29%3B%2Fq%3B%2B1%2Fp-1,6.0,6.0,,45.0,1.67999994754791,22.0,3.0,1.0,2.79500007629395,,,28.0,8.0,,6.0
InChI%3D1S%2FC20H19NO3%2Fc1-16%2823-20-9-5-6-14-21-20%2915-22-17-10-12-19%2813-11-17%2924-18-7-3-2-4-8-18%2Fh2-14%2C16H%2C15H2%2C1H3,18.0,5.0,0.202320039272308,43.0,3.22000002861023,14.0,3.0,1.0,6.15700006484985,,-0.44980001449585,26.0,7.0,18.8661003112793,18.0
InChI%3D1S%2FC21H23ClFNO5%2Fc1-2-3-6-9-28-19%2825%2912-29-18-11-17%2816%2823%2910-15%2818%2922%2924-20%2826%2913-7-4-5-8-14%2813%2921%2824%2927%2Fh10-11H%2C2-9%2C12H2%2C1H3,6.0,10.0,1.33864903450012,52.0,2.89000010490417,14.0,5.0,0.0,3.98099994659424,,-1.15699994564056,31.0,9.0,74.1220016479492,6.0
InChI%3D1S%2FC12H11Cl2NO%2Fc1-4-12%282%2C3%2915-11%2816%298-5-9%2813%297-10%2814%296-8%2Fh1%2C5-7H%2C2-3H3%2C%28H%2C15%2C16%29,6.0,8.0,7.65075588226318,27.0,2.33999991416931,9.0,4.0,0.0,3.50300002098083,,2.76600003242493,16.0,2.0,41.2397994995117,6.0
InChI%3D1S%2FC14H16ClN3O2%2Fc1-14%282%2C3%2912%2819%2913%2818-9-16-8-17-18%2920-11-6-4-10%2815%295-7-11%2Fh4-9%2C13H%2C1-3H3,0.0,5.0,1.07060408592224,17.0,1.78999996185303,0.0,0.0,0.0,-0.128000006079674,,-1.03470003604889,4.0,0.0,22.7868003845215,0.0
InChI%3D1S%2FC8H19O2PS2%2Fc1-4-7-12-11%289%2C10-6-3%2913-8-5-2%2Fh4-8H2%2C1-3H3,0.0,13.0,16.7772159576416,32.0,1.78999996185303,3.0,3.0,0.0,2.62700009346008,0.0,0.920199990272522,12.0,8.0,94.7104034423828,0.0
InChI%3D1S%2FC12H6F2N2O2%2Fc13-12%2814%2917-10-3-1-2-8%2811%2810%2918-12%299-6-16-5-7%289%294-15%2Fh1-3%2C5-6%2C16H,11.0,2.0,3.11981558799744,23.0,2.11999988555908,8.0,0.0,0.0,1.99300003051758,,1.76629996299744,20.0,1.0,14.743200302124,6.0
InChI%3D1S%2FC19H17Cl2N3O3%2Fc1-13-9-25-19%2827-13%2C10-24-12-22-11-23-24%2917-7-6-16%288-18%2817%2921%2926-15-4-2-14%2820%293-5-15%2Fh2-8%2C11-13H%2C9-10H2%2C1H3,17.0,0.0,1.17418897151947,44.0,2.67000007629395,13.0,0.0,0.0,4.12400007247925,,1.08360004425049,30.0,5.0,40.0080986022949,12.0
InChI%3D1S%2FC15H12F3NO4S%2Fc1-24%2821%2C22%2912-6-9%2815%2816%2C17%2918%294-5-10%2812%2913%2820%2911-7-19-23-14%2811%298-2-3-8%2Fh4-8H%2C2-3H2%2C1H3,6.0,4.0,2.77622246742249,40.0,2.11999988555908,11.0,0.0,0.0,1.64499998092651,,1.66620004177094,26.0,5.0,51.1352005004883,6.0
InChI%3D1S%2FC14H13NO7S%2Fc1-23%2821%2C22%298-5-6-9%2810%287-8%2915%2819%2920%2914%2818%2913-11%2816%293-2-4-12%2813%2917%2Fh5-7%2C13H%2C2-4H2%2C1H3,18.0,5.0,29.6970500946045,56.0,3.54999995231628,23.0,0.0,0.0,4.76999998092651,,5.44950008392334,31.0,6.0,127.551200866699,18.0
InChI%3D1S%2FC17H19NO4%2Fc1-2-20-17%2819%2918-12-13-21-14-8-10-16%2811-9-14%2922-15-6-4-3-5-7-15%2Fh3-11H%2C2%2C12-13H2%2C1H3%2C%28H%2C18%2C19%29,12.0,9.0,0.0977812930941582,41.0,2.77999997138977,14.0,2.0,0.0,4.96299982070923,,0.312700003385544,23.0,8.0,32.2939987182617,12.0
InChI%3D1S%2FC14H16Cl3NO2%2Fc1-4-14%283%2C12%2819%297-15%2918-13%2820%299-5-10%2816%298%282%2911%2817%296-9%2Fh5-6H%2C4%2C7H2%2C1-3H3%2C%28H%2C18%2C20%29,6.0,11.0,5.04271936416626,36.0,2.33999991416931,9.0,5.0,0.0,3.58899998664856,,2.24559998512268,20.0,5.0,57.5791015625,6.0
InChI%3D1S%2FC9H12NO5PS%2Fc1-7-6-8%284-5-9%287%2910%2811%2912%2915-16%2817%2C13-2%2914-3%2Fh4-6H%2C1-3H3,6.0,3.0,0.0842160433530807,14.0,2.00999999046326,9.0,0.0,0.0,0.500999987125397,,0.290199995040894,9.0,1.0,34.6772003173828,6.0
InChI%3D1S%2FC7H4Cl3NO3%2Fc8-3-1-4%289%297%2811-6%283%2910%2914-2-5%2812%2913%2Fh1H%2C2H2%2C%28H%2C12%2C13%29,6.0,5.0,,18.0,1.46000003814697,7.0,2.0,0.0,1.47000002861023,,,14.0,3.0,,6.0
InChI%3D1S%2FC10H7N3S%2Fc1-2-4-8-7%283-1%2912-10%2813-8%299-5-14-6-11-9%2Fh1-6H%2C%28H%2C12%2C13%29,15.0,0.0,4.90401029586792,20.0,2.11999988555908,8.0,0.0,0.0,2.50099992752075,3.0,2.21449995040894,16.0,1.0,152.401794433594,11.0
InChI%3D1S%2FC13H19N3O4%2Fc1-5-10%286-2%2914-12-11%2815%2817%2918%297-8%283%299%284%2913%2812%2916%2819%2920%2Fh7%2C10%2C14H%2C5-6H2%2C1-4H3,6.0,6.0,,39.0,2.11999988555908,13.0,5.0,1.0,5.67999982833862,,,20.0,6.0,,6.0
InChI%3D1S%2FC24H38O4%2Fc1-5-9-13-19%287-3%2917-27-23%2825%2921-15-11-12-16-22%2821%2924%2826%2928-18-20%288-4%2914-10-6-2%2Fh11-12%2C15-16%2C19-20H%2C5-10%2C13-14%2C17-18H2%2C1-4H3,6.0,2.0,3.26488757133484,17.0,1.57000005245209,11.0,0.0,0.0,1.74300003051758,,1.80690002441406,11.0,1.0,72.8276977539062,6.0
InChI%3D1S%2FC16H14Cl2O4%2Fc1-10%2816%2819%2920-2%2921-12-4-6-13%287-5-12%2922-15-8-3-11%2817%299-14%2815%2918%2Fh3-10H%2C1-2H3,6.0,4.0,24.2270679473877,49.0,3.32999992370605,7.0,3.0,1.0,5.84000015258789,,4.92210006713867,19.0,3.0,86.2814025878906,6.0
InChI%3D1S%2FC10H12N3O3PS2%2Fc1-15-17%2818%2C16-2%2919-7-13-10%2814%298-5-3-4-6-9%288%2911-12-13%2Fh3-6H%2C7H2%2C1-2H3,6.0,8.0,4.47618627548218,31.0,1.57000005245209,11.0,0.0,0.0,1.46300005912781,,2.11570000648499,20.0,5.0,82.2892990112305,6.0
InChI%3D1S%2FC10H12N2O3S%2Fc1-7%282%2912-10%2813%298-5-3-4-6-9%288%2911-16%2812%2C14%2915%2Fh3-7%2C11H%2C1-2H3,6.0,3.0,0.574715614318848,28.0,1.89999997615814,13.0,3.0,0.0,0.444000005722046,,-0.758099973201752,17.0,1.0,62.8418006896973,6.0
InChI%3D1S%2FC8H10ClN5O3S%2Fc1-12-4-17-5-13%288%2812%2911-14%2815%2916%293-6-2-10-7%289%2918-6%2Fh2H%2C3-5H2%2C1H3,5.0,4.0,0.0907816886901855,28.0,1.24000000953674,7.0,0.0,0.0,2.57599997520447,,-0.30129998922348,19.0,3.0,48.1669006347656,5.0
InChI%3D1S%2FC4H4N2O2%2Fc7-3-1-2-4%288%296-5-3%2Fh1-2H%2C%28H%2C5%2C7%29%28H%2C6%2C8%29,6.0,0.0,0.847504377365112,12.0,1.46000003814697,8.0,0.0,0.0,0.00800000037997961,,-0.92059999704361,8.0,0.0,5.12919998168945,6.0
InChI%3D1S%2FC16H23N3OS%2Fc1-12%282%2919-14%2817-16%283%2C4%295%2921-11-18%2815%2819%2920%2913-9-7-6-8-10-13%2Fh6-10%2C12H%2C11H2%2C1-5H3,6.0,5.0,6.57358312606812,44.0,2.67000007629395,12.0,3.0,0.0,2.43300008773804,,2.56389999389648,22.0,3.0,93.1490020751953,6.0
InChI%3D1S%2FC8H10NO5PS%2Fc1-12-15%2816%2C13-2%2914-8-5-3-7%284-6-8%299%2810%2911%2Fh3-6H%2C1-2H3,6.0,7.0,8.00097751617432,41.0,1.57000005245209,17.0,3.0,0.0,3.48000001907349,,0.958400011062622,23.0,8.0,54.0806999206543,6.0
InChI%3D1S%2FC8H6Cl2O3%2Fc9-5-1-2-7%286%2810%293-5%2913-4-8%2811%2912%2Fh1-3H%2C4H2%2C%28H%2C11%2C12%29,6.0,0.0,0.0272250007838011,14.0,2.00999999046326,6.0,0.0,0.0,0.140000000596046,,0.165000006556511,7.0,0.0,53.1162986755371,6.0
InChI%3D1S%2FC11H10Cl2F2N4O3S%2Fc1-5-16-19%2811%2820%2918%285%2910%2814%2915%299-4-8%2817-23%282%2C21%2922%296%2812%293-7%289%2913%2Fh3-4%2C10%2C17H%2C1-2H3,12.0,10.0,0.991020262241364,46.0,3.0,16.0,4.0,0.0,3.31699991226196,,0.19709999859333,27.0,9.0,55.3376007080078,12.0
InChI%3D1S%2FC22H28N2O3%2Fc1-14-11-15%282%2913-17%2812-14%2921%2826%2924%2822%284%2C5%296%2923-20%2825%2918-9-8-10-19%2827-7%2916%2818%293%2Fh8-13H%2C1-7H3%2C%28H%2C23%2C25%29,12.0,10.0,4.80223417282104,55.0,3.32999992370605,19.0,0.0,1.0,6.84600019454956,,2.19140005111694,28.0,6.0,59.2405014038086,12.0
InChI%3D1S%2FC15H16F3N5O4S%2Fc1-9-19-12%2822-14%2820-9%2927-2%2921-13%2824%2923-28%2825%2C26%2911-6-4-3-5-10%2811%297-8-15%2816%2C17%2918%2Fh3-6H%2C7-8H2%2C1-2H3%2C%28H2%2C19%2C20%2C21%2C22%2C23%2C24%29,6.0,7.0,3.20016312599182,44.0,1.67999994754791,20.0,3.0,0.0,3.71099996566772,,-0.926500022411346,29.0,7.0,162.10270690918,6.0
InChI%3D1S%2FC9H8Cl3NO2S%2Fc10-9%2811%2C12%2916-13-7%2814%295-3-1-2-4-6%285%298%2813%2915%2Fh1-2%2C5-6H%2C3-4H2,6.0,6.0,3.32734084129333,24.0,1.89999997615814,10.0,0.0,0.0,2.31599998474121,0.0,1.82410001754761,14.0,2.0,62.086799621582,6.0
InChI%3D1S%2FC6H8ClN5O2S%2Fc1-8-6%2811-12%2813%2914%2910-3-4-2-9-5%287%2915-4%2Fh2H%2C3H2%2C1H3%2C%28H2%2C8%2C10%2C11%29,5.0,9.0,13.2059564590454,23.0,1.12999999523163,7.0,0.0,0.0,1.50100004673004,,0.151700004935265,15.0,5.0,50.6963996887207,5.0
InChI%3D1S%2FC11H21NOS%2Fc1-3-12%2811%2813%2914-4-2%2910-8-6-5-7-9-10%2Fh10H%2C3-9H2%2C1-2H3,6.0,2.0,1.84334933757782,15.0,1.78999996185303,9.0,0.0,0.0,2.28399991989136,0.0,1.35769999027252,11.0,1.0,52.703498840332,6.0
InChI%3D1S%2FC14H15N3%2Fc1-10-9-13%2811-7-8-11%2917-14%2815-10%2916-12-5-3-2-4-6-12%2Fh2-6%2C9%2C11H%2C7-8H2%2C1H3%2C%28H%2C15%2C16%2C17%29,12.0,0.0,0.141300812363625,32.0,2.67000007629395,13.0,0.0,0.0,1.06400001049042,,0.375900000333786,19.0,3.0,72.0883026123047,12.0
InChI%3D1S%2FC14H17Cl2NO2%2Fc1-14%287-3-2-4-8-14%2913%2819%2917-9-5-6-10%2818%2912%2816%2911%289%2915%2Fh5-6%2C18H%2C2-4%2C7-8H2%2C1H3%2C%28H%2C17%2C19%29,18.0,10.0,10.9514665603638,56.0,3.54999995231628,13.0,4.0,0.0,3.71700000762939,,3.3092999458313,35.0,10.0,48.8604011535645,18.0
InChI%3D1S%2FC9H6Cl6O3S%2Fc10-5-6%2811%298%2813%294-2-18-19%2816%2917-1-3%284%297%285%2C12%299%288%2C14%2915%2Fh3-4H%2C1-2H2,6.0,2.0,4.69155597686768,20.0,2.23000001907349,7.0,2.0,0.0,1.39100003242493,0.0,2.16599988937378,9.0,1.0,76.9888000488281,6.0
InChI%3D1S%2FC14H9Cl5O%2Fc15-11-5-1-9%282-6-11%2913%2820%2C14%2817%2C18%2919%2910-3-7-12%2816%298-4-10%2Fh1-8%2C20H,6.0,4.0,0.103555239737034,20.0,2.00999999046326,10.0,2.0,0.0,0.61599999666214,,0.321799993515015,11.0,1.0,45.7897987365723,6.0
InChI%3D1S%2FC12H18ClNO2S%2Fc1-8-7-17-10%283%2912%288%2914%2811%2815%295-13%299%282%296-16-4%2Fh7%2C9H%2C5-6H2%2C1-4H3,5.0,10.0,2.37314033508301,35.0,2.23000001907349,8.0,3.0,0.0,2.23799991607666,,1.54050004482269,17.0,6.0,57.9718017578125,5.0
InChI%3D1S%2FC12H13N3%2Fc1-9-8-10%282%2914-12%2813-9%2915-11-6-4-3-5-7-11%2Fh3-8H%2C1-2H3%2C%28H%2C13%2C14%2C15%29,12.0,0.0,0.372466087341309,28.0,2.45000004768372,13.0,0.0,0.0,0.857999980449677,,0.610300004482269,16.0,2.0,66.1144027709961,12.0
InChI%3D1S%2FC7H12ClN5%2Fc1-3-9-6-11-5%288%2912-7%2813-6%2910-4-2%2Fh3-4H2%2C1-2H3%2C%28H2%2C9%2C10%2C11%2C12%2C13%29,0.0,3.0,0.537435591220856,25.0,1.57000005245209,8.0,2.0,0.0,1.60199999809265,,0.73309999704361,13.0,2.0,49.1427993774414,0.0
InChI%3D1S%2FC14H14Cl2N2O%2Fc1-2-7-19-14%289-18-6-5-17-10-18%2912-4-3-11%2815%298-13%2812%2916%2Fh2-6%2C8%2C10%2C14H%2C1%2C7%2C9H2,0.0,0.0,,27.0,2.33999991416931,1.0,0.0,0.0,2.53099989891052,,0.0125000001862645,13.0,0.0,,0.0
InChI%3D1S%2FC13H15ClN6O7S%2Fc1-20-10%288%289%2814%2918-20%2911%2821%2927-4%2928%2823%2C24%2919-13%2822%2917-12-15-6%2825-2%295-7%2816-12%2926-3%2Fh5H%2C1-4H3%2C%28H2%2C15%2C16%2C17%2C19%2C22%29,11.0,7.0,0.00326040992513299,43.0,1.24000000953674,15.0,0.0,1.0,0.0790000036358833,,0.0571000017225742,29.0,8.0,60.9360008239746,6.0
InChI%3D1S%2FC15H13Cl2F3N2O4%2Fc1-3-24-11%2823%296-25-10-4-7%289%2818%295-8%2810%2916%2913-12%2817%2914%2822%282%2921-13%2926-15%2819%2920%2Fh4-5%2C15H%2C3%2C6H2%2C1-2H3,11.0,7.0,7.61539220809937,39.0,1.89999997615814,7.0,2.0,0.0,3.1489999294281,,2.75959992408752,27.0,8.0,50.4832992553711,6.0
InChI%3D1S%2FC15H17Cl2N3O2%2Fc1-2-3-12-7-21-15%2822-12%2C8-20-10-18-9-19-20%2913-5-4-11%2816%296-14%2813%2917%2Fh4-6%2C9-10%2C12H%2C2-3%2C7-8H2%2C1H3,6.0,3.0,5.27253437042236,43.0,2.33999991416931,6.0,3.0,0.0,1.83299994468689,,2.29620003700256,24.0,5.0,39.5197982788086,6.0
InChI%3D1S%2FC17H17N2.CH4O4S%2Fc1-18-16%2814-9-5-3-6-10-14%2913-17%2819%2818%292%2915-11-7-4-8-12-15%3B1-5-6%282%2C3%294%2Fh3-13H%2C1-2H3%3B1H3%2C%28H%2C2%2C3%2C4%29%2Fq%2B1%3B%2Fp-1,17.0,6.0,15.3883600234985,46.0,2.67000007629395,6.0,0.0,0.0,4.33300018310547,,-2.31069993972778,26.0,3.0,181.695999145508,12.0
InChI%3D1S%2FC23H22ClF3O2%2Fc1-14-16%2810-7-11-17%2814%2915-8-5-4-6-9-15%2913-29-21%2828%2920-18%2822%2820%2C2%293%2912-19%2824%2923%2825%2C26%2927%2Fh4-12%2C18%2C20H%2C13H2%2C1-3H3,6.0,6.0,0.413577616214752,39.0,2.11999988555908,13.0,5.0,0.0,,,0.643100023269653,20.0,6.0,61.6697998046875,6.0
InChI%3D1S%2FC19H26O3%2Fc1-7-8-13-12%284%2916%2810-15%2813%2920%2922-18%2821%2917-14%289-11%282%293%2919%2817%2C5%296%2Fh7%2C9%2C14%2C16-17H%2C1%2C8%2C10H2%2C2-6H3,23.0,7.0,4.90401029586792,68.0,4.21000003814697,20.0,3.0,0.0,4.00699996948242,0.0,2.21449995040894,38.0,10.0,152.401794433594,22.0
InChI%3D1S%2FC22H28N2O2%2Fc1-7-17-8-10-18%2811-9-17%2920%2825%2923-24%2822%284%2C5%296%2921%2826%2919-13-15%282%2912-16%283%2914-19%2Fh8-14H%2C7H2%2C1-6H3%2C%28H%2C23%2C25%29,12.0,10.0,,54.0,3.44000005722046,18.0,2.0,1.0,7.81199979782104,,3.18370008468628,27.0,7.0,,12.0
InChI%3D1S%2FC15H11ClF3NO4%2Fc1-2-23-14-8-10%284-5-12%2814%2920%2821%2922%2924-13-6-3-9%287-11%2813%2916%2915%2817%2C18%2919%2Fh3-8H%2C2H2%2C1H3,12.0,3.0,3.38670420646667,35.0,2.11999988555908,17.0,2.0,1.0,5.76000022888184,,1.84029996395111,25.0,6.0,,12.0
InChI%3D1S%2FC17H26ClNO2%2Fc1-4-7-11-21-13-19%2816%2820%2912-18%2917-14%285-2%299-8-10-15%2817%296-3%2Fh8-10H%2C4-7%2C11-13H2%2C1-3H3,5.0,4.0,0.180795043706894,28.0,1.24000000953674,7.0,0.0,0.0,,,0.42519998550415,19.0,3.0,,5.0
InChI%3D1S%2FC5H10N2S2%2Fc1-6-3-7%282%295%288%299-4-6%2Fh3-4H2%2C1-2H3,6.0,3.0,2.56672430038452,18.0,1.46000003814697,10.0,0.0,0.0,0.778999984264374,0.0,1.60210001468658,14.0,2.0,45.986198425293,6.0
InChI%3D1S%2FC18H16ClNO5%2Fc1-3-22-17%2821%2911%282%2923-13-5-7-14%288-6-13%2924-18-20-15-9-4-12%2819%2910-16%2815%2925-18%2Fh4-11H%2C3H2%2C1-2H3,16.0,8.0,,41.0,2.67000007629395,17.0,3.0,0.0,4.57600021362305,,0.437799990177155,27.0,7.0,,15.0
InChI%3D1S%2FC18H26O2%2Fc1-13%282%2918-10-9-17%284%2C20-18%2916%2811-18%2919-12-15-8-6-5-7-14%2815%293%2Fh5-8%2C13%2C16H%2C9-12H2%2C1-4H3,6.0,2.0,,46.0,3.22000002861023,6.0,0.0,1.0,5.31500005722046,,1.50440001487732,22.0,4.0,,6.0
InChI%3D1S%2FC13H13Cl2N3O3%2Fc1-7%282%2916-12%2820%2917-6-11%2819%2918%2813%2817%2921%2910-4-8%2814%293-9%2815%295-10%2Fh3-5%2C7H%2C6H2%2C1-2H3%2C%28H%2C16%2C20%29,6.0,6.0,1.24970042705536,34.0,2.00999999046326,15.0,3.0,0.0,2.11100006103516,,1.11790001392365,22.0,3.0,82.7414016723633,6.0
InChI%3D1S%2FC4H8Cl3O4P%2Fc1-10-12%289%2C11-2%293%288%294%285%2C6%297%2Fh3%2C8H%2C1-2H3,0.0,12.0,1.5331392288208,20.0,1.01999998092651,4.0,2.0,0.0,0.52700001001358,1.0,1.23819994926453,11.0,4.0,47.5918006896973,0.0
InChI%3D1S%2FC16H12ClF4N3O4%2Fc1-2-22%288-10-11%2817%294-3-5-12%2810%2918%2915-13%2823%2825%2926%296-9%2816%2819%2C20%2921%297-14%2815%2924%2827%2928%2Fh3-7H%2C2%2C8H2%2C1H3,0.0,0.0,6.79332113265991,13.0,1.35000002384186,4.0,0.0,0.0,-0.0240000002086163,,-1.1311000585556,7.0,0.0,,0.0
InChI%3D1S%2FC14H18ClN3O2%2Fc1-14%282%2C3%2912%2819%2913%2818-9-16-8-17-18%2920-11-6-4-10%2815%295-7-11%2Fh4-9%2C12-13%2C19H%2C1-3H3,11.0,8.0,,38.0,2.33999991416931,7.0,4.0,0.0,2.94400000572205,,,21.0,5.0,,6.0
InChI%3D1S%2FC12H10O%2Fc13-12-9-5-4-8-11%2812%2910-6-2-1-3-7-10%2Fh1-9%2C13H,12.0,0.0,3.43175625801086,23.0,2.67000007629395,13.0,0.0,0.0,2.57100009918213,,1.85249996185303,14.0,1.0,61.0769004821777,12.0
InChI%3D1S%2FC12H9F2N5O2S%2Fc1-7-5-6-19-11%2815-7%2916-12%2817-19%2922%2820%2C21%2918-10-8%2813%293-2-4-9%2810%2914%2Fh2-6%2C18H%2C1H3,6.0,4.0,0.0610090009868145,39.0,1.67999994754791,10.0,0.0,0.0,-0.090999998152256,,-0.246999993920326,24.0,3.0,78.1748962402344,6.0
InChI%3D1S%2FC6H11Cl4O3PS%2Fc1-3-11-14%2815%2C12-4-2%2913-5%287%296%288%2C9%2910%2Fh5H%2C3-4H2%2C1-2H3,6.0,6.0,,30.0,2.45000004768372,7.0,2.0,0.0,1.66700005531311,0.0,,13.0,4.0,,6.0
InChI%3D1S%2FC19H25NO4%2Fc1-11%282%299-14-15%2819%2814%2C3%294%2918%2823%2924-10-20-16%2821%2912-7-5-6-8-13%2812%2917%2820%2922%2Fh9%2C14-15H%2C5-8%2C10H2%2C1-4H3,0.0,4.0,0.953161716461182,49.0,3.0,7.0,3.0,0.0,3.19700002670288,0.0,0.976300001144409,26.0,5.0,87.4697036743164,0.0
InChI%3D1S%2FC19H17ClN2O4%2Fc1-3-24-19%2823%2912%282%2925-14-5-7-15%288-6-14%2926-18-11-21-17-10-13%2820%294-9-16%2817%2922-18%2Fh4-12H%2C3H2%2C1-2H3,17.0,8.0,,43.0,2.77999997138977,18.0,3.0,0.0,2.60599994659424,,0.591899991035461,28.0,7.0,,16.0
InChI%3D1S%2FC8H10N2O4S%2Fc1-14-8%2811%2910-15%2812%2C13%297-4-2-6%289%293-5-7%2Fh2-5H%2C9H2%2C1H3%2C%28H%2C10%2C11%29,6.0,8.0,,25.0,1.57000005245209,14.0,0.0,0.0,-0.231000006198883,,,15.0,3.0,,6.0
InChI%3D1S%2FC15H18Cl2N2O3%2Fc1-8%282%2921-12-7-11%289%2816%296-10%2812%2917%2919-14%2820%2922-13%2818-19%2915%283%2C4%295%2Fh6-8H%2C1-5H3,6.0,4.0,0.107125289738178,40.0,2.33999991416931,13.0,3.0,0.0,4.2039999961853,,0.327300012111664,23.0,4.0,91.3720016479492,6.0
